status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021332100217,2021,332100217,2,90,Scooter - Electric Scooter
Unvalidated,2021332100252,2021,332100252,1,90,Scooter - Electric Scooter
Unvalidated,2021332100253,2021,332100253,1,90,Scooter - Electric Scooter
Unvalidated,2021332100467,2021,332100467,2,90,Scooter - Electric Scooter
Unvalidated,2021332100482,2021,332100482,1,90,Scooter - Electric Scooter
Unvalidated,202134NNC0331,2021,34NNC0331,1,90,Scooter - Electric Scooter
Unvalidated,202134WNC1531,2021,34WNC1531,1,90,Scooter - Electric Scooter
Unvalidated,202134WNC1861,2021,34WNC1861,2,90,Scooter - Electric Scooter
Unvalidated,202134WNC1971,2021,34WNC1971,2,90,Scooter - Electric Scooter
Unvalidated,202134WNC2031,2021,34WNC2031,1,90,Scooter - Electric Scooter
Unvalidated,202134WNC2101,2021,34WNC2101,1,90,Scooter - Electric Scooter
Unvalidated,202134WNC2281,2021,34WNC2281,1,90,Scooter - Electric Scooter
Unvalidated,2021351021943,2021,351021943,2,90,Scooter - Electric Scooter
Unvalidated,2021351028893,2021,351028893,2,90,Scooter - Electric Scooter
Unvalidated,2021351030661,2021,351030661,1,90,Scooter - Electric Scooter
Unvalidated,2021351038744,2021,351038744,1,90,Scooter - Electric Scooter
Unvalidated,2021351047250,2021,351047250,1,90,Scooter - Electric Scooter
Unvalidated,2021351059281,2021,351059281,1,90,Scooter - Electric Scooter
Unvalidated,2021351059606,2021,351059606,1,90,Scooter - Electric Scooter
Unvalidated,2021351074267,2021,351074267,2,90,Scooter - Electric Scooter
Unvalidated,2021361033337,2021,361033337,1,90,Scooter - Electric Scooter
Unvalidated,2021361038107,2021,361038107,1,90,Scooter - Electric Scooter
Unvalidated,2021361046148,2021,361046148,2,90,Scooter - Electric Scooter
Unvalidated,2021361053615,2021,361053615,1,90,Scooter - Electric Scooter
Unvalidated,2021361055990,2021,361055990,2,90,Scooter - Electric Scooter
